,Date,LocationID,PU_passenger,PUTripDistance_count,PickUp_count,PU_fare,DO_passenger,DOTripDistance_count,DO_fare,DropOff_count
0,2020-07,4,1177.0,41570.780000000006,923,16144.14,6006.0,13138.76,56148.11,4397
1,2020-07,12,166.0,548.26,106,2094.74,287.0,31610.140000000003,3653.66,200
2,2020-07,13,2753.0,8718.96,2071,33453.18,4350.0,14772.89,53177.83,3119
3,2020-07,24,5753.0,10934.25,4148,48920.26,5911.0,11019.82,47312.15,4296
4,2020-07,41,11019.0,19612.55,8175,95929.95999999999,16200.0,31701.13,141205.46,11592
5,2020-07,42,6932.0,15958.46,5470,80005.4,13696.0,38211.04,163506.37,10155
6,2020-07,43,15613.0,23425.13,10868,107538.89,12124.0,16798.76,77955.45,8447
7,2020-07,45,956.0,3300.92,721,15160.32,2325.0,7015.08,28296.15,1689
8,2020-07,48,35526.0,64740.02,25807,278004.46,29646.0,42077.27,199125.15,21668
9,2020-07,50,9083.0,25381.61,7128,119499.11,14281.0,33864.85,152456.76,10774
10,2020-07,68,22541.0,63197.83,17265,276654.12,20620.0,32450.88,151354.51,15208
11,2020-07,74,12181.0,25095.3,9022,114598.08,21197.0,44982.14,193084.1,15338
12,2020-07,75,22558.0,44806.26,16525,203531.51,30244.0,52926.49,237621.43,22095
13,2020-07,79,19435.0,38723.91,14238,164579.08000000002,17512.0,33797.89,140748.57,12717
14,2020-07,87,4298.0,13921.82,3182,54198.49,5358.0,18836.69,68581.52,3961
15,2020-07,88,2204.0,8860.02,1672,34568.99,2882.0,12904.01,48981.38,2157
16,2020-07,90,19775.0,33875.61,14434,150609.49,14545.0,23569.989999999998,106222.82,10706
17,2020-07,100,23489.0,43835.97,17129,187347.98,15282.0,20372.16,102556.29,11323
18,2020-07,107,25530.0,45303.07,18669,201631.78,19502.0,31913.489999999998,141861.53,14328
19,2020-07,113,11730.0,19806.49,8362,88617.52,10189.0,17191.79,75826.1,7558
20,2020-07,114,6378.0,12677.69,4573,52937.43,6058.0,11646.14,48420.54,4359
21,2020-07,116,3706.0,9525.52,2828,42458.19,7060.0,22176.65,87432.09,5153
22,2020-07,120,33.0,161.63,23,786.54,113.0,700.6899999999999,2310.8,82
23,2020-07,125,3148.0,6742.04,2278,28504.1,3136.0,8479.13,37308.52,2365
24,2020-07,127,411.0,2254.78,354,9628.0,1667.0,10398.6,35533.01,1232
25,2020-07,128,52.0,243.21,50,1678.3400000000001,100.0,524.4,2116.84,82
26,2020-07,137,25067.0,54925.340000000004,18452,233829.41,19858.0,33804.44,154445.97,14970
27,2020-07,140,35444.0,72148.20999999999,26115,320377.51,31354.0,52373.51,247772.78,23094
28,2020-07,141,38044.0,59220.1,27794,267210.09,33193.0,44579.93,213052.59,24102
29,2020-07,142,33952.0,54384.5,24463,245466.75,27663.0,38825.61,181568.32,19994
30,2020-07,143,14617.0,25446.120000000003,10687,116712.43,16691.0,24999.989999999998,117301.54000000001,12184
31,2020-07,144,4063.0,8622.96,2952,37892.14,5420.0,11607.39,49792.59,3901
32,2020-07,148,5507.0,13390.24,3984,55133.82,6134.0,14292.33,60451.95,4479
33,2020-07,151,19300.0,33633.87,14021,151909.79,16052.0,26803.95,118704.96,11567
34,2020-07,152,2717.0,6225.16,1964,27292.739999999998,4120.0,10393.32,42198.05,3012
35,2020-07,153,116.0,506.53,100,2717.49,193.0,1229.64,4616.77,152
36,2020-07,158,2369.0,4754.79,1708,20323.98,5412.0,11431.76,49008.590000000004,3977
37,2020-07,161,27358.0,44151.369999999995,20266,203134.13,27729.0,34085.1,168737.63999999998,20448
38,2020-07,162,30226.0,49680.94,22688,225163.66,23765.0,31899.19,155163.24,17666
39,2020-07,163,19360.0,32213.510000000002,14290,147030.35,18799.0,23897.829999999998,116384.84,13723
40,2020-07,164,16006.0,28180.78,11771,126906.24,14647.0,21195.91,101566.2,10793
41,2020-07,166,9366.0,17901.79,6646,81548.39,10313.0,20508.61,86828.46,7520
