,Unnamed: 0,Date,PU_passenger,PUTripDistance_count,PickUp_count,PU_fare,PUT_fare,LocationID,DO_passenger,DOTripDistance_count,DropOff_count,DO_fare,DOT_fare,Year
66,87,2021-01-01,39.0,100.96,33,423.09,560.37,4,208.0,497.63,150,1874.1,2621.7000000000003,2021
67,90,2021-01-01,6.0,32.88,5,115.5,145.18,12,22.0,46.77,13,142.5,195.54,2021
68,91,2021-01-01,86.0,328.51,73,1142.07,1578.82,13,142.0,620.88,95,1927.45,2604.98,2021
69,101,2021-01-01,203.0,352.44,134,1530.71,2075.88,24,212.0,463.33,165,1829.19,2638.69,2021
70,116,2021-01-01,383.0,696.25,287,3182.74,3956.26,41,552.0,1268.32,408,5105.74,6729.51,2021
71,117,2021-01-01,205.0,481.91,147,2127.12,2518.88,42,473.0,1331.7,337,5037.81,6225.13,2021
72,118,2021-01-01,586.0,853.67,378,3661.19,5563.82,43,403.0,548.89,264,2319.32,3620.06,2021
73,120,2021-01-01,31.0,90.47,22,331.12,420.22,45,96.0,233.88,65,886.97,1230.21,2021
74,122,2021-01-01,1408.0,2404.52,929,9622.58,14301.93,48,1244.0,2104.52,820,8396.72,12709.24,2021
75,124,2021-01-01,291.0,577.78,198,2276.55,3378.7,50,481.0,749.58,324,3141.56,4863.49,2021
76,139,2021-01-01,933.0,1677.43,619,6677.31,9950.42,68,833.0,1258.33,555,5226.18,8199.65,2021
77,145,2021-01-01,395.0,821.84,300,3429.16,4206.27,74,600.0,1329.75,451,5154.39,6752.6,2021
78,146,2021-01-01,598.0,1268.5,448,5023.28,6400.650000000001,75,859.0,1582.18,608,6316.65,8768.76,2021
79,150,2021-01-01,780.0,1430.02,535,5569.0,8413.67,79,697.0,1442.55,473,5339.58,8009.6,2021
80,157,2021-01-01,133.0,368.52,86,1309.38,1822.72,87,201.0,680.11,133,2223.71,3100.94,2021
81,158,2021-01-01,75.0,240.25,47,755.9,1051.75,88,113.0,375.6,75,1243.37,1659.45,2021
82,160,2021-01-01,661.0,1090.25,460,4566.02,6971.34,90,530.0,866.9,353,3644.67,5676.64,2021
83,170,2021-01-01,768.0,1522.45,491,5957.43,8432.16,100,486.0,719.52,310,3104.22,4651.3,2021
84,174,2021-01-01,713.0,1347.25,528,5399.42,8215.65,107,616.0,1106.97,419,4253.13,6757.63,2021
85,177,2021-01-01,472.0,785.59,303,3250.5,4897.07,113,323.0,533.46,216,2119.46,3323.27,2021
86,178,2021-01-01,278.0,482.32,180,1924.45,2949.87,114,237.0,409.76,160,1635.53,2593.56,2021
87,179,2021-01-01,112.0,321.91,86,1282.89,1506.07,116,241.0,790.58,176,2831.15,3582.5,2021
88,186,2021-01-01,93.0,198.61,68,812.24,1200.43,125,88.0,178.86,61,774.0,1102.06,2021
89,188,2021-01-01,11.0,85.82,15,400.35,547.9,127,55.0,380.55,47,1199.04,1452.87,2021
90,197,2021-01-01,549.0,1145.91,402,4489.06,6578.3,137,545.0,790.33,383,3429.06,5380.06,2021
91,200,2021-01-01,704.0,1219.38,500,5034.05,7645.98,140,746.0,1355.3,530,5371.85,8313.37,2021
92,201,2021-01-01,1042.0,1454.54,702,5955.3,9612.42,141,993.0,1509.24,677,6134.78,9906.55,2021
93,202,2021-01-01,1138.0,1707.32,785,7335.15,11504.2,142,1012.0,1445.22,664,6159.64,9830.44,2021
94,203,2021-01-01,460.0,783.39,315,3248.04,4934.57,143,680.0,1095.25,441,4547.41,7043.84,2021
95,204,2021-01-01,210.0,460.08,152,1805.03,2606.87,144,230.0,403.52,155,1684.02,2467.01,2021
96,208,2021-01-01,179.0,474.35,135,1750.41,2431.74,148,240.0,552.3,162,2137.92,3008.55,2021
97,210,2021-01-01,723.0,1112.41,455,4573.94,6337.21,151,632.0,1169.74,429,4633.45,6639.18,2021
98,211,2021-01-01,110.0,229.54,81,1011.69,1193.52,152,146.0,326.62,93,1252.27,1565.88,2021
99,212,2021-01-01,1.0,12.06,2,50.95,55.3,153,12.0,110.25,11,324.33,376.13,2021
100,215,2021-01-01,158.0,276.77,93,1112.44,1675.03,158,266.0,431.6,157,1679.77,2592.72,2021
101,218,2021-01-01,915.0,1476.12,576,6137.81,9260.34,161,554.0,763.54,378,3534.99,5447.75,2021
102,219,2021-01-01,747.0,1091.93,475,4620.01,7048.650000000001,162,491.0,622.69,332,2932.87,4642.87,2021
103,220,2021-01-01,671.0,1025.97,433,4445.34,6689.84,163,505.0,707.4,323,3026.04,4695.63,2021
104,221,2021-01-01,582.0,1100.75,391,4416.24,6517.59,164,579.0,816.79,369,3468.27,5350.28,2021
105,223,2021-01-01,271.0,455.31,182,1947.35,2571.03,166,314.0,595.01,228,2418.55,3345.12,2021
106,227,2021-01-01,857.0,1476.62,581,6011.22,9161.49,170,762.0,1035.87,505,4458.04,7248.33,2021
107,240,2021-01-01,1423.0,2679.45,951,10779.94,15927.89,186,744.0,960.45,478,4447.44,6846.71,2021
108,247,2021-01-01,1.0,4.35,2,35.27,51.86,194,10.0,46.96,8,170.42,264.19,2021
109,254,2021-01-01,1.0,4.41,1,15.0,20.8,202,24.0,114.82,20,379.5,513.51,2021
110,258,2021-01-01,51.0,162.71,34,597.69,822.59,209,71.0,208.39,47,762.87,1050.03,2021
111,260,2021-01-01,156.0,273.41,109,1126.69,1717.69,211,227.0,388.03,140,1522.2,2280.11,2021
112,271,2021-01-01,53.0,110.14,34,399.03,610.51,224,168.0,341.33,115,1248.15,1922.98,2021
113,276,2021-01-01,672.0,1053.1,451,4083.24,6368.55,229,699.0,1020.27,486,4306.36,6921.07,2021
114,277,2021-01-01,967.0,1821.34,613,7402.15,10604.51,230,619.0,885.1,373,3825.57,5678.41,2021
115,278,2021-01-01,344.0,824.42,233,3042.13,4244.84,231,300.0,921.01,219,3312.13,4672.97,2021
116,279,2021-01-01,39.0,219.51,44,879.25,1096.07,232,231.0,720.33,176,2753.31,3643.01,2021
117,280,2021-01-01,387.0,666.5,256,2526.0,3937.69,233,516.0,780.71,327,3327.96,5179.04,2021
118,281,2021-01-01,715.0,1176.85,484,4876.06,7419.56,234,556.0,909.92,393,3834.62,6010.4800000000005,2021
119,283,2021-01-01,1139.0,1440.13,762,6344.34,10133.31,236,1179.0,1673.04,806,6966.32,11282.96,2021
120,284,2021-01-01,1262.0,1694.33,857,7362.59,11718.78,237,968.0,1102.86,625,4940.41,8150.66,2021
121,285,2021-01-01,1083.0,1806.75,741,7616.33,11149.95,238,1227.0,2091.33,821,8349.76,12895.84,2021
122,286,2021-01-01,1391.0,1885.22,892,8122.71,12923.52,239,1116.0,1673.46,764,7210.51,11436.46,2021
123,290,2021-01-01,13.0,87.34,16,416.39,468.98,243,117.0,588.89,78,1895.65,2361.48,2021
124,291,2021-01-01,129.0,308.56,96,1223.92,1505.42,244,231.0,1161.89,184,3566.31,4493.41,2021
125,292,2021-01-01,440.0,809.88,286,3311.27,4902.7,246,415.0,590.5,269,2562.68,3939.21,2021
